Station Code,Station Name,Planning Area,Region,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,Connection to other transport means
NS10,Admiralty,Woodlands,NORTH,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,NS,NA,NA,10/2/1996,NA,NA,FALSE,FALSE,FALSE,0,
EW9,Aljunied,Geylang,CENTRAL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,4/11/1989,NA,NA,FALSE,FALSE,FALSE,0,
NS16,Ang Mo Kio,Ang Mo Kio,NORTH-EAST,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,NS,NA,NA,7/11/1987,NA,NA,TRUE,FALSE,FALSE,1, Ang Mo Kio Bus Interchange
SE3,Bakau,Sengkang,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,Sengkang LRT,NA,NA,18/1/2003,NA,NA,FALSE,FALSE,FALSE,0,
BP9,Bangkit,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
CC12,Bartley,Serangoon,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,28/5/2009,NA,NA,FALSE,FALSE,FALSE,0,
CE1 DT16,Bayfront,Downtown Core,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,MRT,2,2,CC,DT,NA,14/1/2012,22/12/2013,NA,FALSE,FALSE,FALSE,0,
TE29,Bayshore,Bedok,EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
DT5,Beauty World,Bukit Timah,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,1,1,DT,NA,NA,27/12/2015,NA,NA,FALSE,FALSE,FALSE,0,
EW5,Bedok,Bedok,EAST,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,4/11/1989,NA,NA,TRUE,FALSE,FALSE,1, Bedok Bus Interchange
