HDB Address,Vincenty Distance in km,MRT Station Code,Walking Distance in Meters ,Walking Duration in Minutes,Station Name,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,n_bus_station_1_km,n_subway_station_1_km,n_cafe_1_km,n_restaurant_1_km,n_school_1_km,n_shopping_mall_1_km,n_supermarket_1_km,n_park_1_km,n_bus_station_0.5_km,n_subway_station_0.5_km,n_cafe_0.5_km,n_restaurant_0.5_km,n_school_0.5_km,n_shopping_mall_0.5_km,n_supermarket_0.5_km,n_park_0.5_km
Blk+83+COMMONWEALTH+CL+Singapore,0.3564133193201152,EW20,792,9.883333333,Commonwealth,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,41,2,60,60,33,5,7,3,10,1,25,39,9,0,2,1
Blk+97+COMMONWEALTH+CRES+Singapore,0.5444541520037063,EW20,828,10.51666667,Commonwealth,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,35,2,60,60,33,5,6,2,8,0,21,33,5,0,1,0
Blk+95+COMMONWEALTH+DR+Singapore,0.463413145207673,EW20,725,9.283333333,Commonwealth,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,39,2,60,60,34,5,6,2,10,1,23,35,6,0,1,0
Blk+98+COMMONWEALTH+CRES+Singapore,0.6081353624405597,EW20,812,10.35,Commonwealth,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,36,2,60,60,32,5,6,2,8,0,21,33,5,0,1,0
Blk+93+COMMONWEALTH+DR+Singapore,0.3834292548833465,EW20,610,7.95,Commonwealth,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,42,2,60,60,33,5,7,2,9,1,24,37,11,0,2,1
Blk+85+COMMONWEALTH+CL+Singapore,0.23131234602038656,EW20,447,6.1166666670000005,Commonwealth,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,43,2,60,60,34,5,7,6,11,1,33,60,12,0,3,2
Blk+101+COMMONWEALTH+CRES+Singapore,0.5987242531790734,CC21,866,10.71666667,Holland Village,False,False,False,False,False,False,False,True,False,False,MRT,1,1,CC,,,8/10/2011,,,False,False,False,0,35,2,60,60,33,4,7,2,8,0,21,35,6,0,1,0
Blk+90+COMMONWEALTH+DR+Singapore,0.3668425194087512,EW20,528,7.05,Commonwealth,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,45,2,60,60,36,5,7,2,9,1,24,39,11,0,2,1
Blk+7+COMMONWEALTH+AVE+Singapore,0.5296938532257299,EW21 CC22,707,9.733333333,Buona Vista,False,True,False,False,False,False,False,True,False,False,MRT,2,2,EW,CC,,12/3/1988,8/10/2011,,False,True,False,1,42,4,60,60,49,8,13,5,12,1,38,60,17,4,5,0
Blk+410+COMMONWEALTH+AVE+WEST+Singapore,0.6795460881330198,EW23,914,11.71666667,Clementi,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,True,False,False,1,51,1,60,60,60,9,15,4,17,0,13,25,9,1,5,2
